,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
22536,211971871, 130.002601, 19.806559, 10.217, GO16021_LC|GO16022_LC|GO16031_LC|GO16060_LC
28096,212185879, 129.832254, 23.895776, 10.218, GO16009_LC|GO16021_LC
12371,211633960, 132.449252, 15.013188, 10.223, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
18319,211845861, 129.73275, 17.961163, 10.224, GO16028_LC|GO16052_LC
13389,211662852, 129.708797, 15.410952, 10.225, GO16052_LC
12795,211646489, 137.73035, 15.185875, 10.225, GO16021_LC
5833,211402742, 133.252532, 11.683366, 10.227, GO16001_LC|GO16052_LC
30959,251296460, 139.867621, 16.236862, 10.229, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
12406,211635232, 129.481815, 15.030485, 10.229, GO16021_LC|GO16028_LC|GO16071_LC
19440,211877868, 134.374028, 18.405318, 10.229, GO16052_LC
10884,211557833, 131.018364, 13.951671, 10.229, GO16021_LC
21188,211930580, 137.151157, 19.183406, 10.231, GO16052_LC
23306,212020330, 133.891061, 20.592075, 10.232, GO16009_LC|GO16021_LC
7982,211459728, 132.762615, 12.548111, 10.233, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
34507,251398706, 134.955856, 24.70829, 10.234, GO16021_LC|GO16028_LC|GO16033_LC
11836,211617167, 132.577284, 14.774517, 10.235, GO16052_LC
30724,251291736, 140.515979, 15.722846, 10.235, GO16009_LC|GO16021_LC|GO16028_LC
7156,211435602, 130.423725, 12.1794, 10.238, GO16021_LC|GO16028_LC
7093,211434311, 133.393613, 12.159783, 10.239, GO16021_LC|GO16028_LC
6989,211432103, 133.852475, 12.126656, 10.249, GO16009_LC|GO16011_LC|GO16021_LC
13666,211672141, 134.637392, 15.537802, 10.25, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
31897,251324475, 139.043188, 18.892234, 10.252, GO16052_LC
23350,212021269, 137.160349, 20.608114, 10.252, GO16004_LC|GO16028_LC|GO16052_LC
34208,251391921, 135.88861, 24.280702, 10.252, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
15956,211744558, 138.989466, 16.531487, 10.253, GO16052_LC
14701,211706850, 133.238744, 16.005761, 10.256, GO16009_LC|GO16021_LC
23876,212035818, 137.68717, 20.851208, 10.257, GO16052_LC
28369,212193199, 131.309209, 24.091178, 10.258, GO16052_LC
24130,212042936, 132.531416, 20.975979, 10.259, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
18026,211837829, 132.572697, 17.852342, 10.263, GO16052_LC
12338,211633024, 133.448157, 14.999672, 10.263, GO16052_LC
15464,211729649, 132.556703, 16.320425, 10.265, GO16009_LC|GO16021_LC
22416,211964961, 130.973307, 19.700443, 10.265, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
20505,211912539, 129.553859, 18.913309, 10.268, GO16021_LC|GO16052_LC
12619,211640925, 130.60117, 15.110446, 10.269, GO16020_LC|GO16052_LC
31193,251305973, 140.548299, 17.216611, 10.269, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
16909,211806659, 136.388926, 17.411067, 10.27, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
22411,211964768, 131.193891, 19.697483, 10.271, GO16009_LC|GO16021_LC|GO16060_LC|GO16083_LC
33392,251360662, 140.939701, 21.969676, 10.272, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
28618,212201540, 133.091412, 24.334419, 10.272, GO16052_LC
32882,251350771, 139.198631, 21.142196, 10.273, GO16052_LC
20311,211907092, 135.875382, 18.83218, 10.275, GO16004_LC|GO16052_LC
23479,212024647, 127.935241, 20.663782, 10.279, GO16009_LC|GO16011_LC|GO16021_LC|GO16028_LC|GO16065_LC
27193,212161210, 134.336417, 23.280502, 10.281, GO16052_LC
